tx,type,reserveA,reserveB,ratio,tvl,slippage,volume,fees,lpSupply
1,withdraw,800,1600,2,2400,0,0,0,800
2,swap,880,1454.9422569791761,1.6533434738399728,2334.942256979176,-1,80,0.24,800
3,swap,800.2182413385468,1600.4364826770936,2,2400.6547240156406,0,225.4942256979176,0.6764826770937529,800
4,swap,880.2400654724015,1455.3391676612655,1.6533434738399728,2335.579233133667,0,305.5160498317723,0.9165481494953169,800
5,swap,800.4365422136962,1600.8730844273923,2,2401.3096266410885,0,451.0499665978989,1.3531498997936966,800
6,swap,727.8680933106266,1760.9603928701315,2.41934,2488.828486180758,0,611.1372750406381,1.8334118251219143,800
7,swap,800.6549026416892,1601.3098052833784,2,2401.9647079250676,0,683.9240843717007,2.0517722531151024,800
8,swap,728.0666569443387,1761.4407858117165,2.4193400000000005,2489.5074427560553,0,844.0550649000386,2.532165194700116,800
9,withdraw,728.0666569443387,1761.4407858117165,2.4193400000000005,2489.5074427560553,0,844.0550649000386,2.532165194700116,800
10,swap,668.4661793910425,1920.4795213389764,2.8729643780759253,2588.945700730019,0,1020.1991434812103,3.060597430443631,800
11,swap,735.3127973301467,1746.3667557870112,2.3749984525332737,2481.679553117158,0,1087.0457614203146,3.261137284260944,800
12,swap,808.8440770631614,1588.0392432363474,1.9633440959379616,2396.883320299509,0,1160.5770411533292,3.481731123459988,800
13,deposit,808.8440770631614,1588.0392432363474,1.9633440959379616,2396.883320299509,0,1160.5770411533292,3.481731123459988,800
14,swap,735.5133918915717,1746.8431675599822,2.374998452533274,2482.356559451554,0,1319.3809654769639,3.9581428964308922,800
15,swap,668.8309465232078,1921.5274843159805,2.8729643780759258,2590.3584308391883,0,1494.065282232962,4.482195846698887,800
16,swap,735.7140411755287,1747.319709298882,2.3749984525332737,2483.0337504744107,0,1560.9483768852829,4.682845130655849,800
17,swap,809.2854452930815,1588.9058009446956,1.9633440959379616,2398.191246237777,0,1634.5197810028358,4.903559343008507,800
18,swap,735.914745196946,1747.7963810391652,2.3749984525332737,2483.7111262361113,0,1793.4103610973054,5.380231083291916,800
19,swap,669.1959127006875,1922.5760191430818,2.8729643780759258,2591.7719318437694,0,1968.189999201222,5.904569997603666,800
20,swap,608.5258822412362,2114.83362105739,3.4753388192271046,2723.359503298626,0,2160.4476011155302,6.481342803346591,800
21,swap,553.3562628364429,2326.316983163129,4.2040131094544515,2879.673245999572,0,2371.9309632212694,7.115792889663807,800
22,swap,534.9812716893014,2408.8923948160727,4.5027602316050315,2943.873666505374,0,2604.5626615375822,7.813687984612746,800
23,deposit,534.9812716893014,2408.8923948160727,4.5027602316050315,2943.873666505374,0,2604.5626615375822,7.813687984612746,800
24,swap,486.47928679576364,2649.7816342976794,5.446853969365658,3136.260921093443,0,2845.4519010191893,8.536355703057568,800
25,swap,442.37454469015523,2914.7597977274477,6.588895841122555,3357.134342417603,0,3110.430064448957,9.331290193346872,800
26,withdraw,442.37454469015523,2914.7597977274477,6.588895841122555,3357.134342417603,0,3110.430064448957,9.331290193346872,800
27,deposit,442.37454469015523,2914.7597977274477,6.588895841122555,3357.134342417603,0,3110.430064448957,9.331290193346872,800
28,withdraw,442.37454469015523,2914.7597977274477,6.588895841122555,3357.134342417603,0,3110.430064448957,9.331290193346872,800
29,swap,442.0294844739952,2920.628370911048,6.607315741361751,3362.657855385043,0,3401.906044221702,10.205718132665107,800
30,swap,486.23243292139466,2655.8410211067094,5.462081180290287,3142.073454028104,-1,3446.1089926691016,10.338326978007306,800
31,swap,442.1500708569562,2921.4251232173806,6.607315741361751,3363.5751940743367,0,3711.6930947797723,11.13507928433932,800
32,swap,486.3650779426518,2656.565538980977,5.462081180290288,3142.930616923629,-1,3755.908101865468,11.267724305596406,800
33,swap,535.001585736917,2415.7184131863023,4.515348136508541,2950.7199989232195,-1,3804.544609659733,11.413633828979203,800
34,swap,501.6435965514548,2579.5015656239625,5.142100055411306,3081.145162175417,0,4046.116450978363,12.138349352935093,800
35,deposit,501.6435965514548,2579.5015656239625,5.142100055411306,3081.145162175417,0,4046.116450978363,12.138349352935093,800
36,swap,551.8079562066004,2345.641143606404,4.250828784223223,2897.4490998130045,-1,4096.280810633509,12.288842431900528,800
37,swap,606.9887518272603,2132.982762213698,3.5140400144032857,2739.9715140409585,-1,4151.461606254169,12.45438481876251,800
38,swap,667.6876270099864,1939.604221345547,2.9049575623130983,2607.2918483555336,0,4212.160481436895,12.636481444310688,800
39,swap,607.1543393743624,2133.564643480102,3.5140400144032857,2740.7189828544642,0,4406.120903571449,13.218362710714352,800
40,swap,552.1090655400222,2346.921107828112,4.250828784223223,2899.030173368134,0,4619.4773679194595,13.858432103758382,800
41,withdraw,552.1090655400222,2346.921107828112,4.250828784223223,2899.030173368134,0,4619.4773679194595,13.858432103758382,800
42,swap,607.3199720940245,2134.1466834846888,3.5140400144032853,2741.4666555787135,-1,4674.688274473462,14.024064823420389,800
43,withdraw,607.3199720940245,2134.1466834846888,3.5140400144032853,2741.4666555787135,0,4674.688274473462,14.024064823420389,800
44,swap,668.0519693034269,1940.6626202461475,2.904957562313098,2608.714589549574,0,4735.420271682865,14.206260815048596,800
